make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Kia,Seltos FWD,31.2913,CVT,8,FWD,2,4,Sm SUV,N,Natural,Regular,None,Y
Kia,Seltos AWD,27.0347,Manual,7,AWD,1.6,4,Sm SUV,Y,Turbo,Regular,None,Y
Kia,Seltos AWD,28.542,CVT,8,AWD,2,4,Sm SUV,N,Natural,Regular,None,Y
Jaguar,F-Type S Coupe,21.8371,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S Convertible,21.8371,Automatic,8,RWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S AWD Coupe,20.8635,Automatic,8,AWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type S AWD Convertible,20.8635,Automatic,8,AWD,3,6,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type R AWD Coupe,18.4489,Automatic,8,AWD,5,8,Two Seater,Y,Super,Premium,None,Y
Jaguar,F-Type R AWD Convertible,18.4489,Automatic,8,AWD,5,8,Two Seater,Y,Super,Premium,None,Y
Volkswagen,Atlas,19.211,Automatic,8,FWD,3.6,6,Sm SUV,Y,Natural,Regular,None,Y
Volkswagen,Atlas 4motion,18.1798,Automatic,8,AWD,3.6,6,Std SUV,Y,Natural,Regular,None,Y
Genesis,G70 AWD,23.0078,Automatic,8,AWD,2,4,Compact,Y,Turbo,Premium,None,Y
Genesis,G70 RWD,24.8489,Automatic,8,RWD,2,4,Compact,Y,Turbo,Premium,None,Y
Genesis,G70 RWD,21.6779,Manual,6,RWD,2,4,Compact,Y,Turbo,Premium,None,N
Kia,Soul,29.8116,CVT,1,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,Y
Kia,Soul Eco dynamics,31.3493,CVT,1,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,Y
Kia,Soul,27.0504,Manual,6,FWD,2,4,Sm St Wagon,N,Natural,Regular,None,N
Kia,Soul,28.8021,Manual,7,FWD,1.6,4,Sm St Wagon,Y,Turbo,Regular,None,Y
Volkswagen,Atlas,22.2209,Automatic,8,FWD,2,4,Sm SUV,Y,Turbo,Regular,None,Y
